QUETTA,Chilton Town,Banazeer Hospital,"Gulistan town, Mariabad Quetta",03003896503,Both
QUETTA,Zarghoon Town,Civil Hospital,Main jinnah road,03428017667,Both
QUETTA,Zarghoon Town,BMC,Brewery Road Quetta,03471120716,Both
Quetta,Chilton Town,Fatima Jinnah Chest & General Hospital Quetta,Brewery Road Quetta,03409516012,Both
QUETTA,Chilton Town,Balochistan Children Hospital Quetta,Quarry road,03137875005,Both
QUETTA,Zarghoon Town,Helper Eye Hospital Quetta,saryab road,03003173596,Both
QUETTA,Chilton Town,Mufti Mehmood-Hospital Kuchlak Quetta,kuchlak,03003870320,Both
QUETTA,Chilton Town,BINUQ Quetta,"lehri gate, samungli road",03338899844,Both
QUETTA,Sub quetta,LRBT Hopital,saryab road,03151616615,Both
QUETTA,Sadar qta,Chirstan Hospital,Mission Road,,Both
QUETTA,Zarghoon Town,Lady defrrern Hospital,Macconagi Road,,Both
QUETTA,Zarghoon Town,Trauma Centre,jinnah Road,03218003437,Both
QUETTA,Chilton Town,MMH Hospital,kuchlak,03332076225,Both
QUETTA,Chilton Town,DGHS,saryab road,,Both
QUETTA,Chilton Town,Wapda Hospital,Airport Road,03340261908,Both
QUETTA,Chilton Town,Red Crecent Hospital,Airport Road,,Both
QUETTA,Saddar Qta,Najma Ghafar Hospital,Patel Road,,Both
QUETTA,Chilton Town,Epi Centre,Berwary road,03428017667,Both
QUETTA,Chilton Town,DHO Office,Bypass Road,03023806167,Both
QUETTA,Zarghoon Town,Al Shiffa Hospital,Patel Road,,Both
QUETTA,Zarghoon Town,Akram Road,Double Road,,Both
QUETTA,Zarghoon Town,"Azeem Hospital, Nawa Killi, Quetta",Nawa killi,,Both
QUETTA,Zarghoon Town,City International Hos,jinnah Road,,Both
QUETTA,Chilton Town,Darul Shiffa,Hazara Town,,Both
QUETTA,Zarghoon Town,Jelani Hospital,,,Both
QUETTA,Zarghoon Town,Imdad Hospital,Double Road,,Both
QUETTA,Zarghoon Town,Doctor Hospial,Patel Road,,Both
QUETTA,Zarghoon Town,Haji Sangeen Khan Hospital,Airport Road,,Both
QUETTA,Zarghoon Town,"Saleem Medical Complex, Jinnah Road, Quetta",Jinnah Road,,Both
QUETTA,Zarghoon Town,Mid Town Hospital,Model Town,,Both
QUETTA,Zarghoon Town,Al Qadeer Hospital,SherMuhmmad Road,,Both
QUETTA,Chilton Town,Tariq HOSPITAL,saryab road,,Both
QUETTA,Zarghoon Town,Yaseen Hospital,Patel Road,,Both
QUETTA,Zarghoon Town,Rahat Medical Hosp[,Art school Road,,Both
QUETTA,Zarghoon Town,Al Naseer hospital,Adalat hospital,,Both
QUETTA,Zarghoon Town,Gelani Hospital,Satilitte Town,,Both
QUETTA,Zarghoon Town,Al Azam Hospital,Satilitte Town,,Both
QUETTA,Zarghoon Town,Madina Children Hospital,SherMuhmmad Road,,Both
KILLA ABDULLAH,KILLA ABDULLAH,RHC Killa Abdullah,Killa Abdullah city,03318010845,Both
KILLA ABDULLAH,CHAMAN SUB-,New DHQ,chaman city,03318946689,Both
NUSHKI,NUSHKI SUB-,DHQ Hospital Nushki,main city,03448022463,Both
DERA BUGTI,DERA BUGTI SUB-,DHQ Hospital Dera Bugti,"main road,",0835410225,Both
KOHLU,KOHLU,Epi center city kohlu,kohlu city,0829667370,Both
SIBBI,SIBI SUB-,DHQ Hospital Sibi,main bazar,08339230072,Both
ZIARAT,ZIARAT SUB-,DHQ HOSPITAL ZIARAT,main city,03342323664,Both
HARNAI,HARNAI,DHQ HARNAI,main city,0833520049,Both
BARKHAN,BARKHAN SUB-,DHQ BARKHAN,main city,"0333268377603368326230",Both
KILLA SAIFULLAH,"KILLA SAIFULLAHSUB-",DHQ Hospital Killa Saif Ullah,main city,03333212015,Both
LORALAI,LORALAI,"MCH Center, Loralai",main city,0824410436,Both
MUSAKHEL,MUSAKHEL SUB-,DHQ Hospital Musa Khel,main city,03337738775,Both
ZHOB,"KAKAR KHURASANSUB-",MCH Center (Zhob),main city,03127919610,Both
DUKI,DUKI,DHQ Hospital,main city,03438155773,Both
Kalat,Kalat,District Store,main city,03377766141,Both
Kharan,Kharan,MCH Centre Kharan,main city,03342126407,Both
Kharan,Sar Kharan,BHU Miskan Kalat,main city,03342126407,Both
Khuzdar,Moola,CD Nokjo,main road,03316760000,Both
Khuzdar,Nal,Civil Hospital Nall,main city road,03316760000,Both
Khuzdar,Wadah,RHC Wadh,main city road,03316760000,Both
Khuzdar,Zehri,CH Shaheed Nawabzada Sikandar Khan Zehri,main city road,03316760000,Both
Lasbella,Liari,BHU Liari,main city road,03007046546,Both
Lasbella,Kanraj,BHU Umer Goth,main city road,03007046546,Both
Lasbella,Gaddani,RHC Gaddani,main city road,03007046546,Both
Lasbella,Lakhara,RHC Lakhara,main road,03007046546,Both
Lasbella,Bela,BHU Danda (Jam Yousaf Abad),main city road,03007046546,Both
Lasbella,Uthal,BHU Sukkan,main city road,03007046546,Both
Mastung,Mastung,"BHU, Ghulam Prinz",main city road,03313724891,Both
Mastung,Dasht,"RHC, Ispilingi",main city road,03337804564,Both
Mastung,Mastung,"RHC, Pringabad",main city road,03331399771,Both
